,Equal Weight,Minimum Variance,Maximum Sharpe,Risk Parity
0,0.0,0.0,0.0,0.0
1,0.048429452544821616,0.19871210302678677,7.360152769335993e-16,0.022489178825835995
2,0.021594931477859708,0.17647063771723392,1.9999999999999782,0.04954157521626737
3,0.019097676334314,0.14732343022690353,1.926317631237104,0.03755362105071264
4,0.02069022781871363,0.041046831844042106,1.3159238737501602,0.025545525931125274
5,0.01873077304268292,0.09881848361356163,0.6534949969556124,0.6348788990027797
6,0.049699952647191736,0.05785095562387042,0.21564655188481033,0.030239621500485418
7,0.02803780991593116,0.05578788006667509,0.647878810173217,0.0195822575050277
8,0.01750866618878652,0.24658600122938232,0.707727945826922,0.04794515200157334
9,0.014322301218472444,0.06086415783139442,0.8993865403275976,0.5957610979697598
10,0.015585553711010447,0.04493847835190384,0.37357916805888264,0.02077981894296868
11,0.051512916260972236,0.1313260125359681,1.0520814577096942,0.042021296424942914
12,0.013782587986277295,0.12915760352894665,0.28049602849567623,0.03790790997527686
13,0.02107115003625165,0.09841360969002595,0.3802723751503381,0.0692043610536038
14,0.012839649185568097,0.02601669208508537,0.9303364803526425,0.024452336008229644
15,0.015458927208656548,0.06252094044021084,0.288707784741995,0.03673087394945351
16,0.019006463416548602,0.011557498992585513,0.8022543872059791,0.013188971580670686
17,0.01044941310895503,0.022175439303306458,0.3053614930770878,0.01629505887285751
18,0.019526258756300208,0.06790468256835917,0.39563538045235913,0.0733506125968023
19,0.015297832191109195,0.01725383103087054,0.3435429690508718,0.01713718710409673
20,0.011331158458937285,0.052600858701747785,0.5538378447213923,0.028827554436519298
21,0.028195187440175434,0.07103483258388416,1.412602773958329,0.028365236147663953
22,0.013732455697721468,0.05203308023808856,0.07245097258233782,0.03682378942677128
23,0.00902399135706311,0.05026297252957964,0.6163196140365654,0.04608391923355437
24,0.016241131449627688,0.01665001960626783,0.43587067581915667,0.028231110273107374
25,0.030274507924614613,0.1041940096504353,0.15208628926231313,0.05886994952606746
26,0.016406312706441162,0.5167388516439758,0.9953107979578448,0.12774226710053
27,0.01667030464628952,0.2445899582792568,0.066240060849689,0.060271493685683145
28,0.011662110437794665,0.16516946947127265,0.34200149537547414,0.02800783910726827
29,0.02580834001499996,0.18821767928651606,1.21453317123419,0.028018273019889114
30,0.02168002022490631,0.013789688405833861,1.0165323022772603,0.020898277687546513
31,0.022322027518130005,0.04348150718663429,0.4716077759592712,0.029678358037821748
