,Min Variance Sample Cov,Min Variance Ledoit-Wolf,Max Sharpe Sample Cov,Max Sharpe Ledoit-Wolf,SPY Benchmark
Annualized Return,0.07114122009656917,0.07191537119948112,0.09117825722849648,0.09048537067871759,0.1404717791656408
Annualized Volatility,0.09852485986579018,0.0983048778416941,0.15220435291201684,0.15231467882423466,0.18104932168013405
Sharpe Ratio,0.5190691990451278,0.5281057495751469,0.46764928772859565,0.4627615094146968,0.6654086193069663
