,Equal Weight,Minimum Variance,Maximum Sharpe,Risk Parity
SPY,0.14285714285714285,0.24468105655661926,0.0,0.1100840491076522
QQQ,0.14285714285714285,0.0,0.42058843074916913,0.09397041554910614
IWM,0.14285714285714285,0.0,5.286624957586052e-17,0.09087762552959264
TLT,0.14285714285714285,0.38914442351154177,0.0,0.2784084941266645
GLD,0.14285714285714285,0.26518460448515996,0.5794115692508309,0.21216754758275116
VNQ,0.14285714285714285,2.1141942363467336e-18,0.0,0.09791472682751833
EFA,0.14285714285714285,0.10098991544667914,4.8667799765790783e-17,0.11657714127671506
