,Equal Weight,Minimum Variance,Maximum Sharpe,Risk Parity,SPY Benchmark
Annualized Return,0.09670582701343727,0.06981579171386562,0.08523337930163748,0.09272584181658632,0.1404717791656408
Annualized Volatility,0.13493234873133364,0.09853560527658298,0.1521704379905093,0.11389856947192004,0.18104932168013405
Sharpe Ratio,0.5684761862862677,0.5055613305874151,0.42868628206029086,0.6385140933180532,0.6654086193069663
