,Min Variance Sample Cov,Min Variance Ledoit-Wolf,Max Sharpe Sample Cov,Max Sharpe Ledoit-Wolf,SPY Benchmark
2016-01-05,-0.0002396427444091181,-0.00023975807973027454,-0.0017361111111109978,-0.0017361111111109963,0.0016913739926376
2016-01-06,0.002448229924295226,0.002360787493409502,-0.009610983981693301,-0.009610983981693301,-0.0126142232816846
2016-01-07,-0.006126366917413742,-0.00612395051532877,-0.0313308687615526,-0.0313308687615526,-0.0239915501458605
2016-01-08,-0.00480581045012085,-0.0049079343774408426,-0.008109913176223603,-0.008109913176223603,-0.0109765524349395
2016-01-11,-0.00615662108457357,-0.006149967158694234,0.003078106964217099,0.0030781069642171,0.0009899958315966
2016-01-12,0.006478874358559641,0.006352160046062224,0.0115074798619103,0.011507479861910298,0.008068294206444
2016-01-13,-0.005977218788058351,-0.0060104181036591455,-0.0344141069397042,-0.0344141069397042,-0.0249406175771971
2016-01-14,-0.0009484813081396186,-0.0009830362630471028,0.0213058419243985,0.0213058419243985,0.0164168829105544
2016-01-15,-0.0008683142693210952,-0.0010188270195189636,-0.031051720822918596,-0.0310517208229186,-0.0214661595373313
2016-01-19,-0.002419194569341462,-0.002457120342746572,0.0021827562258159993,0.0021827562258159997,0.0013311325275544
2016-01-20,0.003438641394445212,0.0034629536965432996,-0.0030690030690030024,-0.0030690030690030054,-0.0128150590237158
2016-01-21,-0.0009087585815119445,-0.0009198806561714742,0.0009930486593843005,0.0009930486593843013,0.0056019391327766
2016-01-22,0.00699295252142732,0.007134041006152097,0.028968253968254,0.028968253968254004,0.0205152927312657
2016-01-25,-0.0027653912801290036,-0.00282322377949945,-0.0148476667952178,-0.014847666795217804,-0.0151165231996641
2016-01-26,0.009489350262119183,0.009622611578095774,0.009003718927382803,0.009003718927382805,0.0136431464506501
2016-01-27,-0.00383207493746008,-0.0038199508421007966,-0.024927255092143396,-0.024927255092143403,-0.0108832807570977
2016-01-28,-0.0006721029255953836,-0.0007601394823932751,0.014125136775091996,0.014125136775091996,0.0052091638760431
2016-01-29,0.014713554336088605,0.01473118455753026,0.020892594409023905,0.020892594409023905,0.0243773465178995
2016-02-01,-0.00021471218899036647,-0.00021094284654335363,0.0026902382782473993,0.0026902382782473997,-0.0003613462729712
2016-02-02,-0.0013462746409376638,-0.0015148008992068654,-0.0216558068225374,-0.0216558068225374,-0.0180222050090369
2016-02-03,0.001375327503715175,0.0014242739892299729,-0.0047992164544562975,-0.0047992164544562975,0.0059949516196886
2016-02-04,0.00571161207495279,0.005730739134479065,-9.841551028444207e-05,-9.841551028444318e-05,0.0015682174594875
2016-02-05,-0.002438658766750494,-0.0026202509467324036,-0.03474409448818891,-0.0347440944881889,-0.0190501043841336
2016-02-08,0.0059809164910708725,0.005779486714966917,-0.015295197308045202,-0.015295197308045199,-0.013461026868848
2016-02-09,-0.0012178372420845107,-0.0015140588525873876,-0.0031065548306927005,-0.0031065548306927,5.393161471256569e-05
2016-02-10,0.005006651337659367,0.005007568605997287,0.003843357224472901,0.003843357224472901,-0.0008628593000054
2016-02-11,0.008724205226857473,0.008633809886414401,-0.0014486754966887001,-0.0014486754966887005,-0.013008042316619
2016-02-12,-0.00022534457959015857,-0.0002313671353153749,0.015233160621761704,0.015233160621761702,0.0206168653614786
2016-02-16,-0.005343949880391957,-0.005061031881835737,0.022557925895682503,0.022557925895682503,0.0168783153833789
2016-02-17,0.005529829225261258,0.005562412014526719,0.022659213415851406,0.022659213415851403,0.0163347033407101
2016-02-18,0.009458015800911856,0.009367808820121594,-0.011420204978037998,-0.011420204978037998,-0.0040958108668601
2016-02-19,-0.0012941687069623713,-0.0011893561547795188,0.0029620853080566997,0.0029620853080567,-0.000468530376386
2016-02-22,-7.164742848397596e-05,-0.00011400961808503271,0.016243354991140005,0.016243354991140005,0.0144791666666665
2016-02-23,0.000840895413579523,0.0007933597676412288,-0.016468080984210005,-0.01646808098421,-0.0126296334325906
2016-02-24,0.0016392791636112116,0.0016240032265132087,0.009553826455234801,0.0095538264552348,0.004575707154742
2016-02-25,0.00631583844795136,0.006279430460342435,0.009853658536585303,0.009853658536585302,0.012111801242236
