,Equal Weight,Minimum Variance,Maximum Sharpe,Risk Parity,SPY Benchmark
2016-01-05,0.0026658537726250856,-0.0002396427444091181,-0.0017361111111109978,0.0012925420376662788,0.0016913739926376
2016-01-06,-0.004106139004028786,0.002448229924295226,-0.009610983981693301,0.00042524069814303764,-0.0126142232816846
2016-01-07,-0.015194848230487584,-0.006126366917413742,-0.0313308687615526,-0.009635945248742943,-0.0239915501458605
2016-01-08,-0.0088119404604219,-0.00480581045012085,-0.008109913176223603,-0.006157756024027493,-0.0109765524349395
2016-01-11,-0.0014622754390241424,-0.00615662108457357,0.003078106964217099,-0.0038776679701013565,0.0009899958315966
2016-01-12,0.004282439131938542,0.006478874358559641,0.0115074798619103,0.005312599280799224,0.008068294206444
2016-01-13,-0.015225026849253542,-0.005977218788058351,-0.0344141069397042,-0.009185898103247688,-0.0249406175771971
2016-01-14,0.005206495001317514,-0.0009484813081396186,0.0213058419243985,0.0009397796892508609,0.0164168829105544
2016-01-15,-0.01226872279756427,-0.0008683142693210952,-0.031051720822918596,-0.005581963833828205,-0.0214661595373313
2016-01-19,6.587631968622853e-05,-0.002419194569341462,0.0021827562258159993,-0.0007220582804548564,0.0013311325275544
2016-01-20,-0.005340821942789656,0.003438641394445212,-0.0030690030690030024,-0.0006634814855318218,-0.0128150590237158
2016-01-21,0.0016565960523621855,-0.0009087585815119445,0.0009930486593843005,0.00011608744398127467,0.0056019391327766
2016-01-22,0.01754341051604467,0.00699295252142732,0.028968253968254,0.011774460272008715,0.0205152927312657
2016-01-25,-0.008032729963024628,-0.0027653912801290036,-0.0148476667952178,-0.004221275076655584,-0.0151165231996641
2016-01-26,0.013344138755486672,0.009489350262119183,0.009003718927382803,0.01094225293127211,0.0136431464506501
2016-01-27,-0.010259463357080143,-0.00383207493746008,-0.024927255092143396,-0.007082889173151143,-0.0108832807570977
2016-01-28,0.000742384712922314,-0.0006721029255953836,0.014125136775091996,-9.992955437421809e-05,0.0052091638760431
2016-01-29,0.01836441184632444,0.014713554336088605,0.020892594409023905,0.015451555536108243,0.0243773465178995
2016-02-01,0.0005296161565494142,-0.00021471218899036647,0.0026902382782473993,0.0003867482019526479,-0.0003613462729712
2016-02-02,-0.010667472525141641,-0.0013462746409376638,-0.0216558068225374,-0.004775138596291462,-0.0180222050090369
2016-02-03,0.0028453686386748856,0.001375327503715175,-0.0047992164544562975,0.0016508337519553049,0.0059949516196886
2016-02-04,0.003440624886662722,0.00571161207495279,-9.841551028444207e-05,0.004706402903371062,0.0015682174594875
2016-02-05,-0.0140743375444499,-0.002438658766750494,-0.03474409448818891,-0.007841280446652147,-0.0190501043841336
2016-02-08,-0.00820059604079887,0.0059809164910708725,-0.015295197308045202,-0.00018386573182176168,-0.013461026868848
2016-02-09,-0.005840078934401504,-0.0012178372420845107,-0.0031065548306927005,-0.004035296470375035,5.393161471256569e-05
2016-02-10,0.0036939957688020145,0.005006651337659367,0.003843357224472901,0.004985920226234546,-0.0008628593000054
2016-02-11,-0.0009857221827885712,0.008724205226857473,-0.0014486754966887001,0.005111634493444465,-0.013008042316619
2016-02-12,0.00876400236391267,-0.00022534457959015857,0.015233160621761704,0.002576074798720864,0.0206168653614786
2016-02-16,0.008702389023299485,-0.005343949880391957,0.022557925895682503,0.0007530111400735912,0.0168783153833789
2016-02-17,0.011501775212997827,0.005529829225261258,0.022659213415851406,0.007735287790937044,0.0163347033407101
2016-02-18,0.003039208205536957,0.009458015800911856,-0.011420204978037998,0.007019238561761373,-0.0040958108668601
2016-02-19,0.0009937149822672143,-0.0012941687069623713,0.0029620853080566997,0.00010696837836017916,-0.000468530376386
2016-02-22,0.006345890771746671,-7.164742848397596e-05,0.016243354991140005,0.00236608214012142,0.0144791666666665
2016-02-23,-0.005453477187491928,0.000840895413579523,-0.016468080984210005,-0.0014926485846338826,-0.0126296334325906
2016-02-24,0.002912880762890371,0.0016392791636112116,0.009553826455234801,0.002089517320568234,0.004575707154742
2016-02-25,0.0099631656140418,0.00631583844795136,0.009853658536585303,0.007873602688474313,0.012111801242236
2016-02-26,-0.0030696390900246,-0.005789697072759421,-0.0012559173026761017,-0.0046397600370337464,-0.0023013194231358
2016-02-29,-0.0019554018922624855,0.0025274700145806843,-0.008995937318630201,0.0008911485303494964,-0.0078425342149777
2016-03-01,0.014928043359296542,-0.0002608049001479292,0.032015617374328904,0.006038628916077506,0.0235069229179583
2016-03-02,0.005878352136909129,0.005665713414940052,0.0003783221413031029,0.005794064590376863,0.0044924536873454
2016-03-03,0.006921264103228228,0.008135067455889928,-0.0018908953389429966,0.007567502824458394,0.0039195979899497
2016-03-04,0.0012295000226667145,-0.0011778380356777577,0.0003788955195604004,-0.0004066072796158071,0.0032535789368306
2016-03-07,0.0016512674302685854,0.0014563225950634034,0.004909822854221611,0.0016744382912700327,0.0007982836900664
2016-03-08,-0.008121731284105715,-0.0012781470238516883,-0.004421951045287802,-0.004017126256929993,-0.0109177925120893
2016-03-09,0.0016155975571576857,-0.0025505734372218715,-0.008264857388069837,-0.0010318385875605458,0.0049395161290322
2016-03-10,-0.0002955622785883426,0.0020044080118888402,0.01579784799712736,0.0008257126154894009,0.0008024877119068
2016-03-11,0.010887228895146126,-0.0006142930131711544,-0.017110686336400813,0.0036137250728763837,0.0161371153653402
2016-03-14,-0.0019864618778433854,-0.002466808775663039,-0.012691210364158021,-0.0022540871932675227,-0.0012823042020121
2016-03-15,-0.0035452928723965858,-0.0013408976325535809,0.0007658048979608582,-0.00228895151977865,-0.0016296296296296
2016-03-16,0.009702263622075515,0.008986904774238438,0.022048039814910148,0.009755450909127902,0.0057872087846861
2016-03-17,0.006176912449899114,0.0035067650893357703,-0.0037127339688280614,0.004642870326000706,0.0063440542933017
2016-03-18,-4.291682632948584e-05,-4.862959713641715e-05,-0.0026849514664426853,0.00011930764703237278,-0.0012217172457605
2016-03-21,-0.004754594668036371,-0.004506966156692957,-0.007020133834889096,-0.005424829766354575,0.0014189255308738
2016-03-22,0.0003289973733453714,0.0002556085711605976,0.00290145731639262,0.0004796518400058424,-0.0005374505301215
2016-03-23,-0.009013477314581872,-0.004355468998826219,-0.02219496802494711,-0.006629052289929026,-0.006599530700039
2016-03-24,-0.0007873779982155143,-0.0011520317283956617,-0.002365444976156537,-0.0007848654057776699,-0.0004428915899807
2016-03-28,0.0027270237289614427,0.0018794616857172916,0.00230805683218473,0.0023744013575768916,0.0005907837731391
2016-03-29,0.016360321315474387,0.012657430604455776,0.0184218334219669,0.01535288007737724,0.0092501476087383
2016-03-30,-0.0013669217060955634,-0.0054954448698421995,-0.013933568180210078,-0.0045201530139029516,0.0043876755070202
2016-03-31,0.0009820163741304855,0.002263424134140389,0.00464325698538454,0.00246757202694367,-0.0024269488399184
2016-04-01,0.0006265506990529998,-0.0005884683032102002,-0.005951145847689129,-0.00021033264775930836,0.0068119891008173
2016-04-04,-0.0035756354205905426,-0.0026132809690479954,-0.006577322575227915,-0.003123291775515052,-0.003237966363812
2016-04-05,-0.0047562870044541,0.0024218780468793022,0.012973974092557152,0.0002239389688788048,-0.0099878787878787
2016-04-06,0.006279634189872685,0.0008126665435806792,0.004977622912369361,0.0021288434415234737,0.0109212008423527
2016-04-07,-0.004867680986366942,0.0030128566686268674,-0.001372656520201534,0.0008264958715061715,-0.0119658947776378
2016-04-08,0.0032535495587017998,0.0008130118011290773,-0.0033318777070075046,0.0008483216719388661,0.002696739396911
2016-04-11,0.00022490731130931437,0.001883382054854382,-0.0021701092036594733,0.0013437938852447718,-0.0023471882640586
2016-04-12,0.006259636457809743,0.0016977345432136475,0.0011363983776833356,0.0028473190390645334,0.0093128124693655
2016-04-13,0.0069638863913901,0.0039964231925328185,0.007961091427882075,0.004484728495230028,0.0101010101010101
2016-04-14,-0.003163556352121506,-0.004346514695488489,-0.002493121734740312,-0.004577694631167327,4.807692307684519e-05
2016-04-15,0.002801904131503572,0.00433221858602539,0.0028140867893032295,0.0044001692190708585,-0.0011057160713426
2016-04-18,0.003920879258141914,0.0008646362582859243,0.0007175861542846924,0.001606450182692102,0.0070266628164405
2016-04-19,0.004023073923359157,0.005528051693786819,-0.004226817992405324,0.003948026201931167,0.0031542726056204
2016-04-20,-0.004134362335643557,-0.005200972712402127,-0.0047771955275497545,-0.0055746271837246565,0.0009528346831824
2016-04-21,-0.005189354711265152,-0.0037883247045379653,-0.002610398731872286,-0.004343442382396933,-0.0053783912422655
2016-04-22,-0.0013830300311721716,-0.003653212858413244,-0.009260890986635326,-0.0028568643140691055,0.0
2016-04-25,-0.0008999372934575431,-0.0022724994037667695,-0.0018384710801309949,-0.00131699301914742,-0.0017227353208594
2016-04-26,0.0018970365000986718,-0.00010667214686136545,-0.004507765527342076,0.0007475089071110538,0.0014860265567324
