Lookback Window,Rebalance Window,Equal Weight,Maximum Sharpe,Minimum Variance,Risk Parity,SPY Benchmark
126,21,0.5203006311410967,0.47224356344653434,0.439433481606339,0.5644958679322144,0.6171744254563646
126,63,0.5005266346927469,0.554117464231901,0.38571386999148444,0.5313762858613429,0.5979851000433941
252,21,0.5707791453533674,0.46764928772859565,0.5190691990451278,0.6469513429832314,0.6654086193069663
252,63,0.5508362781981927,0.5167183866927442,0.5120963380844122,0.6224182878787096,0.6458158036143398
504,21,0.563588091461523,0.7833760018454923,0.570113705156552,0.6318377921094629,0.6591343007176672
504,63,0.5418987521781632,0.6317833581925993,0.5536865841603246,0.6737509671158396,0.6378860845697043
