Date,SPY,QQQ,IWM,TLT,GLD,VNQ,EFA
2015-04-28,211.44,109.98,125.16,127.29,116.33,82.35,67.81
2015-04-29,210.57,109.29,123.8,125.73,115.51,80.69,67.22
2015-04-30,208.46,107.57,121.18,125.95,113.47,79.38,66.51
2015-05-01,210.72,108.99,121.97,124.0,113.08,79.98,67.25
2015-05-04,211.32,109.17,122.41,122.83,114.1,80.06,67.18
2015-05-05,208.9,107.39,120.85,122.66,114.42,78.32,66.18
2015-05-06,208.04,106.65,121.27,120.56,114.36,78.17,66.35
2015-05-07,208.87,107.29,121.73,122.18,113.42,79.37,66.13
2015-05-08,211.62,108.63,122.64,122.51,113.97,80.48,67.66
2015-05-11,210.6,108.21,122.71,119.53,113.53,79.27,67.07
2015-05-12,209.98,107.72,122.49,119.84,114.5,79.51,67.03
2015-05-13,210.02,107.94,122.48,118.88,116.55,78.75,67.53
2015-05-14,212.21,109.52,123.79,119.2,117.18,80.27,68.34
2015-05-15,212.44,109.52,123.65,121.59,117.53,81.09,68.42
2015-05-18,213.1,110.0,125.05,119.55,117.52,80.88,68.19
2015-05-19,213.03,109.88,124.88,118.49,115.89,80.6,67.93
2015-05-20,212.88,109.95,125.11,118.69,116.08,80.53,68.06
2015-05-21,213.5,110.52,124.97,120.35,115.69,80.15,68.42
2015-05-22,212.99,110.41,124.43,120.4,115.6,80.05,67.98
2015-05-26,210.7,109.14,123.24,122.46,113.91,79.44,66.76
2015-05-27,212.7,110.9,124.75,122.74,113.89,80.22,67.41
2015-05-28,212.46,110.65,124.64,122.44,114.02,80.06,67.29
2015-05-29,211.14,109.99,123.89,122.71,114.1,79.14,66.64
2015-06-01,211.57,110.36,124.28,121.13,114.0,80.11,66.46
2015-06-02,211.36,110.01,124.52,119.44,114.46,79.37,66.77
2015-06-03,211.92,110.34,125.76,117.52,113.64,78.23,67.14
2015-06-04,210.13,109.5,124.5,119.05,112.84,78.08,66.42
2015-06-05,209.77,109.24,125.4,117.6,112.24,77.21,65.63
2015-06-08,208.48,108.13,124.82,117.47,112.57,77.07,65.54
2015-06-09,208.45,107.95,124.44,116.54,112.82,76.51,65.18
2015-06-10,210.95,109.43,125.99,115.52,113.78,77.05,66.55
2015-06-11,211.63,109.59,126.31,117.95,113.26,77.52,66.73
2015-06-12,210.01,108.69,125.93,117.95,113.23,77.45,66.2
2015-06-15,209.11,108.15,125.53,118.14,113.73,77.03,65.8
2015-06-16,210.25,108.74,126.42,119.07,113.32,77.65,65.78
2015-06-17,210.59,109.04,126.23,118.15,113.85,78.31,65.63
2015-06-18,212.78,110.63,127.92,117.57,115.32,79.39,66.22
2015-06-19,210.81,109.83,127.86,119.08,115.12,78.78,66.06
2015-06-22,211.89,110.64,128.74,116.65,113.64,77.97,67.31
2015-06-23,212.04,110.73,129.01,115.95,112.89,77.32,67.49
2015-06-24,210.5,110.16,127.92,116.95,112.59,76.9,66.91
2015-06-25,209.86,109.94,127.85,116.54,112.44,76.12,65.77
2015-06-26,209.82,109.21,127.5,115.23,112.56,75.9,65.74
2015-06-29,205.42,106.63,124.28,118.28,113.07,74.72,63.72
2015-06-30,205.85,107.01,124.86,117.46,112.37,74.69,63.49
2015-07-01,207.5,107.86,125.23,115.62,111.98,75.92,63.9
2015-07-02,207.31,107.89,123.78,116.0,111.76,76.11,63.98
2015-07-06,206.72,107.64,123.74,118.15,112.06,76.59,62.69
2015-07-07,208.02,107.91,123.88,119.26,110.76,77.79,62.71
2015-07-08,204.53,106.03,121.99,120.29,111.09,77.49,61.25
2015-07-09,204.9,105.97,122.43,117.92,111.36,77.12,62.26
2015-07-10,207.48,107.59,124.13,116.05,111.49,77.76,64.3
2015-07-13,209.77,109.48,125.53,115.69,110.99,77.87,64.54
