,Alpha,Market Beta,SMB Beta,HML Beta,R-squared
Equal Weight,-4.859154514525656e-05,0.650783449123597,0.13811089053179032,-0.014405409042855564,0.8718836534377723
Minimum Variance,3.419938924721207e-05,0.2920947263596555,0.02490319113102818,-0.10990567827960468,0.3560446792144627
Maximum Sharpe,1.1984997957134772e-05,0.47471554229228424,0.05119022123658769,-0.2274028924655549,0.4193998561174124
Risk Parity,3.719583437043103e-05,0.4671970385813321,0.13592135530728333,-0.046441221329468985,0.6603779679990874
SPY Benchmark,-7.221826947895519e-05,0.9817809779678522,-0.12094237459417384,0.019418678502400387,0.9916218460161442
